6885	4e-06	1e-06	0.006975	0.005773	0.007679	0.002073	0.002198	0.001087	0.000579
21700	3e-06	1e-06	0.021859	0.018623	0.024569	0.007645	0.008353	0.004577	0.003735
55455	2e-06	1e-06	0.056607	0.048039	0.063604	0.022972	0.025961	0.015285	0.011597
122438	3e-06	2e-06	0.12595	0.106932	0.142796	0.054067	0.058497	0.037646	0.027345
242825	2e-06	3e-06	0.251235	0.214022	0.283563	0.111815	0.120981	0.077815	0.055487
443704	3e-06	1e-06	0.464167	0.393166	0.52528	0.206973	0.22332	0.147957	0.108022
760099	3e-06	1e-06	0.797508	0.681442	0.905669	0.476812	0.496235	0.437763	0.28362
1235994	3e-06	2e-06	1.31132	1.11936	1.47367	0.915428	0.94517	0.867574	0.632185
1925357	2e-06	2e-06	2.05081	1.7551	2.30178	1.71356	1.7449	1.71876	1.2141
2893164	2e-06	1e-06	3.03991	2.64689	3.45508	2.7832	2.95627	2.87443	2.08466
4216423	3e-06	1e-06	4.49032	3.9006	5.07471	4.35681	5.68513	5.36728	3.30985
5985198	2e-06	1e-06	6.34697	5.54351	7.32454	7.43369	10.0251	9.58236	5.08646
8303633	3e-06	1e-06	9.06231	7.78735	10.1088	14.1884	16.9642	19.454	10.2127
